ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Metodo_Pagamento,Status_Pedido,Cidade,Estado,Pais,Faturamento
TRX001609,2025-06-21,CLI00069,Liquidificador,Casa,57.65,2,Cartao De Credito,Concluido,Belo Horizonte,MG,Brasil,115.3
TRX000168,2025-01-23,CLI00175,Bicicleta Aro 29,Esporte,2084.46,5,Cartao De Debito,Em Processamento,Salvador,BA,Brasil,10422.3
TRX003022,2025-07-20,CLI00518,Vestido Casual,Moda,2170.07,4,Cartao De Credito,Concluido,Rio De Janeiro,RJ,Brasil,8680.28
TRX002987,2025-01-30,CLI00794,Smartphone X10,Eletrônicos,1209.09,2,Boleto,Cancelado,Fortaleza,CE,Brasil,2418.18
TRX001745,2025-04-01,CLI00166,Quadrinho Clássico,Livros,2595.59,5,Pix,Devolvido,Salvador,BA,Brasil,12977.95
TRX005447,2025-11-23,CLI00305,Halteres 5kg,Esporte,2941.81,1,Cartao De Debito,Cancelado,Porto Alegre,RS,Brasil,2941.81
TRX000812,2025-07-24,CLI00828,Tapete de Yoga,Esporte,799.47,4,Pix,Em Processamento,Brasília,DF,Brasil,3197.88
TRX005165,2025-06-13,CLI00542,Biografia,Livros,978.08,4,Boleto,Concluido,Manaus,AM,Brasil,3912.32
TRX004763,2025-10-01,CLI00310,Romance Best-Seller,Livros,883.5,1,Boleto,Concluido,Recife,PE,Brasil,883.5
TRX005340,2025-08-07,CLI00521,Biografia,Livros,3245.77,1,Cartao De Credito,Concluido,Recife,PE,Brasil,3245.77
TRX001731,2025-12-17,CLI00133,Bicicleta Aro 29,Esporte,1211.81,2,Pix,Devolvido,Porto Alegre,RS,Brasil,2423.62
TRX001700,2025-01-20,CLI00686,Livro Técnico Python,Livros,2671.49,1,Cartao De Credito,Em Processamento,Recife,PE,Brasil,2671.49
TRX001358,2025-08-14,CLI00259,Quadrinho Clássico,Livros,2643.5,3,Boleto,Devolvido,Manaus,AM,Brasil,7930.5
TRX003681,2025-03-23,CLI00544,Tênis Esportivo,Moda,3381.41,2,Cartao De Debito,Devolvido,Porto Alegre,RS,Brasil,6762.82
TRX000320,2025-05-08,CLI00394,Kit Cama,Casa,1653.46,5,Pix,Concluido,Rio De Janeiro,RJ,Brasil,8267.3
TRX004016,2025-11-15,CLI00117,Kit Cama,Casa,1651.61,5,Pix,Devolvido,Rio De Janeiro,RJ,Brasil,8258.05
TRX003353,2025-11-26,CLI00715,Notebook Prime,Eletrônicos,2630.15,4,Boleto,Em Processamento,Recife,PE,Brasil,10520.6
TRX004619,2025-12-13,CLI00811,Jaqueta Corta-Vento,Moda,826.5,3,Pix,Concluido,São Paulo,SP,Brasil,2479.5
TRX001109,2025-10-31,CLI00702,Notebook Prime,Eletrônicos,628.04,5,Cartao De Credito,Devolvido,Porto Alegre,RS,Brasil,3140.2
TRX004629,2025-04-13,CLI00477,Livro Infantil,Livros,2963.97,1,Pix,Devolvido,Salvador,BA,Brasil,2963.97
TRX002945,2025-03-15,CLI00032,Tapete de Yoga,Esporte,1647.75,3,Cartao De Credito,Concluido,Belo Horizonte,MG,Brasil,4943.25
TRX001303,2025-07-31,CLI00335,Bicicleta Aro 29,Esporte,2516.18,4,Cartao De Credito,Concluido,Rio De Janeiro,RJ,Brasil,10064.72
TRX002032,2025-03-02,CLI01140,Smartphone X10,Eletrônicos,313.32,5,Boleto,Em Processamento,Manaus,AM,Brasil,1566.6
TRX001427,2025-03-22,CLI00020,Aspirador de Pó,Casa,30.38,1,Cartao De Debito,Concluido,Recife,PE,Brasil,30.38
TRX000297,2025-02-16,CLI00810,Camiseta Básica,Moda,1245.65,4,Cartao De Credito,Devolvido,Porto Alegre,RS,Brasil,4982.6
TRX002648,2025-11-21,CLI01089,Biografia,Livros,754.33,5,Pix,Concluido,Rio De Janeiro,RJ,Brasil,3771.65
TRX002751,2025-01-08,CLI00433,"Smart TV 50""",Eletrônicos,1707.47,2,Boleto,Concluido,São Paulo,SP,Brasil,3414.94
TRX004360,2025-12-10,CLI00129,Jogo de Panelas,Casa,2570.26,3,Boleto,Em Processamento,Recife,PE,Brasil,7710.78
TRX002346,2025-07-19,CLI00970,Liquidificador,Casa,645.21,3,Pix,Cancelado,Belo Horizonte,MG,Brasil,1935.63
TRX001187,2025-11-22,CLI00791,Quadrinho Clássico,Livros,1219.83,4,Pix,Devolvido,Curitiba,PR,Brasil,4879.32
TRX004695,2025-06-07,CLI00718,Corda de Pular,Esporte,512.07,5,Cartao De Credito,Devolvido,Recife,PE,Brasil,2560.35
TRX001216,2025-12-15,CLI00279,Aspirador de Pó,Casa,2875.54,1,Cartao De Credito,Concluido,Fortaleza,CE,Brasil,2875.54
TRX001394,2025-03-17,CLI00020,Quadrinho Clássico,Livros,668.41,4,Cartao De Credito,Concluido,Porto Alegre,RS,Brasil,2673.64
TRX001513,2025-02-13,CLI00070,Livro Técnico Python,Livros,3225.44,5,Pix,Concluido,Manaus,AM,Brasil,16127.2
TRX004344,2025-04-06,CLI00264,Notebook Prime,Eletrônicos,1713.61,3,Boleto,Devolvido,São Paulo,SP,Brasil,5140.83
TRX003619,2025-05-18,CLI00680,Livro Técnico Python,Livros,1428.11,3,Boleto,Concluido,Recife,PE,Brasil,4284.33
TRX001962,2025-08-18,CLI00191,Smartphone X10,Eletrônicos,97.34,5,Pix,Devolvido,Porto Alegre,RS,Brasil,486.7
TRX000234,2025-05-14,CLI00222,Tapete de Yoga,Esporte,1055.19,3,Pix,Cancelado,Manaus,AM,Brasil,3165.57
TRX003804,2025-08-13,CLI00139,Camiseta Básica,Moda,787.3,3,Cartao De Credito,Em Processamento,Rio De Janeiro,RJ,Brasil,2361.9
TRX003816,2025-11-13,CLI00143,Fone Bluetooth,Eletrônicos,177.29,2,Cartao De Debito,Em Processamento,Curitiba,PR,Brasil,354.58
TRX004055,2025-10-20,CLI00057,Camiseta Básica,Moda,3024.79,4,Cartao De Credito,Cancelado,Brasília,DF,Brasil,12099.16
TRX005154,2025-03-13,CLI00261,Caixa de Som,Eletrônicos,1224.89,1,Cartao De Credito,Devolvido,Recife,PE,Brasil,1224.89
TRX000347,2025-12-28,CLI00284,Kit Cama,Casa,735.55,2,Cartao De Credito,Concluido,Brasília,DF,Brasil,1471.1
TRX002064,2025-10-03,CLI00939,Tapete de Yoga,Esporte,2788.24,5,Cartao De Credito,Cancelado,Curitiba,PR,Brasil,13941.2
TRX002035,2025-05-28,CLI00742,"Smart TV 50""",Eletrônicos,1744.82,1,Pix,Concluido,São Paulo,SP,Brasil,1744.82
TRX002928,2025-10-28,CLI00454,Fone Bluetooth,Eletrônicos,365.22,3,Pix,Cancelado,Rio De Janeiro,RJ,Brasil,1095.66
TRX000577,2025-09-09,CLI00430,Caixa de Som,Eletrônicos,952.54,2,Nao Informado,Em Processamento,Salvador,BA,Brasil,1905.08
TRX001057,2025-06-10,CLI00157,Corda de Pular,Esporte,1834.94,4,Pix,Em Processamento,Porto Alegre,RS,Brasil,7339.76
TRX003541,2025-04-06,CLI00236,Tênis Esportivo,Moda,497.17,4,Nao Informado,Em Processamento,Rio De Janeiro,RJ,Brasil,1988.68
TRX003405,2025-08-23,CLI01187,Camiseta Básica,Moda,1199.18,1,Pix,Devolvido,Salvador,BA,Brasil,1199.18
TRX001635,2025-02-10,CLI00604,Biografia,Livros,1725.65,3,Cartao De Credito,Devolvido,Brasília,DF,Brasil,5176.95
TRX001923,2025-07-11,CLI00367,Notebook Prime,Eletrônicos,1096.14,4,Pix,Concluido,Curitiba,PR,Brasil,4384.56
TRX000545,2025-04-02,CLI00924,"Smart TV 50""",Eletrônicos,1187.26,5,Pix,Cancelado,Brasília,DF,Brasil,5936.3
TRX001826,2025-11-20,CLI00092,Bola de Futebol,Esporte,1181.35,3,Cartao De Debito,Concluido,Rio De Janeiro,RJ,Brasil,3544.05
TRX003019,2025-07-24,CLI00271,Jogo de Panelas,Casa,3049.34,5,Cartao De Debito,Cancelado,Manaus,AM,Brasil,15246.7
TRX005714,2025-02-15,CLI00229,Jogo de Panelas,Casa,3065.1,1,Pix,Em Processamento,Belo Horizonte,MG,Brasil,3065.1
TRX003760,2025-11-02,CLI01130,Liquidificador,Casa,366.38,2,Pix,Devolvido,Curitiba,PR,Brasil,732.76
TRX000707,2025-08-25,CLI01159,Bola de Futebol,Esporte,1908.29,5,Pix,Concluido,Belo Horizonte,MG,Brasil,9541.45
TRX003938,2025-10-07,CLI00134,Livro Infantil,Livros,2085.27,4,Cartao De Debito,Devolvido,Belo Horizonte,MG,Brasil,8341.08
TRX005895,2025-06-18,CLI00639,Fone Bluetooth,Eletrônicos,3244.45,5,Cartao De Debito,Cancelado,Porto Alegre,RS,Brasil,16222.25
TRX004378,2025-06-29,CLI00211,Livro Infantil,Livros,1614.38,2,Cartao De Debito,Concluido,Porto Alegre,RS,Brasil,3228.76
TRX005981,2025-02-24,CLI01111,Livro Técnico Python,Livros,587.81,4,Pix,Devolvido,São Paulo,SP,Brasil,2351.24
TRX004881,2025-01-08,CLI00527,Vestido Casual,Moda,2355.88,2,Cartao De Debito,Concluido,Brasília,DF,Brasil,4711.76
TRX004103,2025-12-25,CLI01154,Kit Cama,Casa,886.32,5,Boleto,Cancelado,São Paulo,SP,Brasil,4431.6
TRX001075,2025-03-01,CLI00810,Jogo de Panelas,Casa,1730.93,2,Cartao De Debito,Concluido,Salvador,BA,Brasil,3461.86
TRX004084,2025-05-22,CLI00837,Notebook Prime,Eletrônicos,256.09,2,Pix,Concluido,Curitiba,PR,Brasil,512.18
TRX003406,2025-03-31,CLI00116,Jaqueta Corta-Vento,Moda,307.13,5,Pix,Em Processamento,Brasília,DF,Brasil,1535.65
TRX001346,2025-03-22,CLI00968,Calça Jeans,Moda,3253.6,1,Cartao De Credito,Devolvido,Rio De Janeiro,RJ,Brasil,3253.6
TRX001420,2025-02-09,CLI00956,Bola de Futebol,Esporte,2273.33,5,Pix,Cancelado,Rio De Janeiro,RJ,Brasil,11366.65
TRX004590,2025-08-18,CLI00582,Tapete de Yoga,Esporte,611.3,4,Pix,Cancelado,Recife,PE,Brasil,2445.2
TRX001621,2025-02-19,CLI00485,Jaqueta Corta-Vento,Moda,2071.98,4,Boleto,Devolvido,Manaus,AM,Brasil,8287.92
TRX002487,2025-10-14,CLI00229,Tapete de Yoga,Esporte,1625.41,4,Boleto,Devolvido,Curitiba,PR,Brasil,6501.64
TRX002917,2025-06-20,CLI00419,Romance Best-Seller,Livros,2609.76,5,Pix,Cancelado,Porto Alegre,RS,Brasil,13048.8
TRX003319,2025-07-28,CLI00603,Fone Bluetooth,Eletrônicos,2370.54,1,Cartao De Credito,Em Processamento,Belo Horizonte,MG,Brasil,2370.54
TRX002458,2025-09-15,CLI01143,Calça Jeans,Moda,3353.14,3,Cartao De Credito,Cancelado,São Paulo,SP,Brasil,10059.42
TRX002903,2025-04-21,CLI00509,Vestido Casual,Moda,3439.61,3,Pix,Cancelado,Brasília,DF,Brasil,10318.83
TRX001040,2025-10-11,CLI01018,Tapete de Yoga,Esporte,3227.57,3,Cartao De Credito,Concluido,Manaus,AM,Brasil,9682.71
TRX004516,2025-03-10,CLI00263,Bicicleta Aro 29,Esporte,2189.22,2,Cartao De Credito,Concluido,Brasília,DF,Brasil,4378.44
TRX002523,2025-09-12,CLI00528,Livro Técnico Python,Livros,3284.57,5,Cartao De Debito,Devolvido,Brasília,DF,Brasil,16422.85
TRX001500,2025-10-27,CLI00293,Notebook Prime,Eletrônicos,2839.61,3,Pix,Concluido,São Paulo,SP,Brasil,8518.83
TRX000743,2025-03-06,CLI00742,Jogo de Panelas,Casa,1777.17,5,Pix,Devolvido,Salvador,BA,Brasil,8885.85
TRX005742,2025-12-23,CLI01197,Caixa de Som,Eletrônicos,3411.51,1,Pix,Devolvido,Rio De Janeiro,RJ,Brasil,3411.51
TRX005829,2025-09-07,CLI00696,Halteres 5kg,Esporte,3117.44,3,Pix,Devolvido,São Paulo,SP,Brasil,9352.32
TRX005420,2025-04-03,CLI00511,Biografia,Livros,500.71,3,Cartao De Credito,Cancelado,Recife,PE,Brasil,1502.13
TRX005639,2025-05-11,CLI00166,Vestido Casual,Moda,783.9,2,Boleto,Em Processamento,Curitiba,PR,Brasil,1567.8
TRX004653,2025-09-24,CLI00480,Tapete de Yoga,Esporte,3080.74,4,Pix,Devolvido,Recife,PE,Brasil,12322.96
TRX002481,2025-06-25,CLI00847,Caixa de Som,Eletrônicos,1707.05,4,Pix,Cancelado,Curitiba,PR,Brasil,6828.2
TRX001865,2025-08-01,CLI00799,Kit Cama,Casa,2850.95,5,Pix,Devolvido,Salvador,BA,Brasil,14254.75
TRX003429,2025-08-17,CLI00940,Jogo de Panelas,Casa,1299.73,4,Cartao De Debito,Concluido,São Paulo,SP,Brasil,5198.92
TRX002654,2025-08-11,CLI00538,Notebook Prime,Eletrônicos,1880.24,5,Boleto,Cancelado,Rio De Janeiro,RJ,Brasil,9401.2
TRX001145,2025-02-13,CLI01142,Fone Bluetooth,Eletrônicos,1685.4,2,Boleto,Em Processamento,Manaus,AM,Brasil,3370.8
TRX000081,2025-04-03,CLI00548,Tapete de Yoga,Esporte,3252.86,5,Pix,Concluido,São Paulo,SP,Brasil,16264.3
TRX004884,2025-01-01,CLI00021,Tapete de Yoga,Esporte,676.1,1,Boleto,Concluido,Fortaleza,CE,Brasil,676.1
TRX004819,2025-04-22,CLI00225,Quadrinho Clássico,Livros,2825.25,5,Cartao De Debito,Concluido,São Paulo,SP,Brasil,14126.25
TRX005577,2025-02-22,CLI00383,Notebook Prime,Eletrônicos,445.13,1,Cartao De Credito,Cancelado,Recife,PE,Brasil,445.13
TRX001787,2025-10-29,CLI00938,"Smart TV 50""",Eletrônicos,171.13,3,Nao Informado,Em Processamento,Recife,PE,Brasil,513.39
TRX005097,2025-10-08,CLI00464,"Smart TV 50""",Eletrônicos,2110.04,3,Cartao De Debito,Concluido,Recife,PE,Brasil,6330.12
TRX000961,2025-10-26,CLI00362,Tênis Esportivo,Moda,34.84,2,Cartao De Credito,Concluido,Fortaleza,CE,Brasil,69.68
TRX002756,2025-01-05,CLI00758,Jogo de Panelas,Casa,3408.5,1,Pix,Em Processamento,Salvador,BA,Brasil,3408.5
TRX005520,2025-06-19,CLI00937,Romance Best-Seller,Livros,2626.5,2,Boleto,Concluido,Belo Horizonte,MG,Brasil,5253.0
TRX000080,2025-10-21,CLI00988,Jogo de Panelas,Casa,756.39,5,Boleto,Devolvido,Manaus,AM,Brasil,3781.95
TRX001567,2025-08-10,CLI00570,Tapete de Yoga,Esporte,120.93,2,Cartao De Debito,Devolvido,Brasília,DF,Brasil,241.86
TRX002167,2025-04-27,CLI00116,Livro Técnico Python,Livros,3345.93,3,Cartao De Debito,Concluido,Rio De Janeiro,RJ,Brasil,10037.79
TRX000713,2025-03-23,CLI00727,Bola de Futebol,Esporte,1564.01,5,Cartao De Debito,Concluido,São Paulo,SP,Brasil,7820.05
TRX001085,2025-07-28,CLI01150,Bola de Futebol,Esporte,497.75,5,Pix,Devolvido,Curitiba,PR,Brasil,2488.75
TRX001331,2025-06-07,CLI00350,Biografia,Livros,1875.53,4,Cartao De Credito,Concluido,Salvador,BA,Brasil,7502.12
TRX000024,2025-08-29,CLI00509,Notebook Prime,Eletrônicos,2810.79,4,Cartao De Credito,Cancelado,Salvador,BA,Brasil,11243.16
TRX003408,2025-10-30,CLI00211,Bola de Futebol,Esporte,1692.72,4,Pix,Cancelado,Belo Horizonte,MG,Brasil,6770.88
TRX003780,2025-11-23,CLI00168,Bicicleta Aro 29,Esporte,1603.09,3,Cartao De Debito,Devolvido,Porto Alegre,RS,Brasil,4809.27
TRX004373,2025-06-11,CLI00958,Camiseta Básica,Moda,504.55,3,Cartao De Credito,Cancelado,Brasília,DF,Brasil,1513.65
TRX004127,2025-11-08,CLI00427,Kit Cama,Casa,795.61,4,Cartao De Credito,Concluido,Salvador,BA,Brasil,3182.44
TRX005473,2025-12-17,CLI00262,Liquidificador,Casa,1730.28,3,Cartao De Credito,Concluido,São Paulo,SP,Brasil,5190.84
TRX004991,2025-08-15,CLI00862,Romance Best-Seller,Livros,2007.57,2,Pix,Em Processamento,Manaus,AM,Brasil,4015.14
TRX001262,2025-11-30,CLI00361,Calça Jeans,Moda,2590.85,3,Pix,Concluido,Salvador,BA,Brasil,7772.55
TRX005390,2025-03-28,CLI00390,Livro Técnico Python,Livros,127.61,5,Pix,Concluido,Curitiba,PR,Brasil,638.05
TRX001439,2025-02-12,CLI01075,Jaqueta Corta-Vento,Moda,2761.9,3,Cartao De Credito,Cancelado,São Paulo,SP,Brasil,8285.7
TRX001770,2025-02-24,CLI00447,Notebook Prime,Eletrônicos,3497.18,3,Pix,Devolvido,Fortaleza,CE,Brasil,10491.54
TRX005004,2025-05-01,CLI01070,Vestido Casual,Moda,1554.75,1,Cartao De Debito,Cancelado,Fortaleza,CE,Brasil,1554.75
TRX004105,2025-04-05,CLI00554,Biografia,Livros,2518.02,5,Cartao De Debito,Concluido,Belo Horizonte,MG,Brasil,12590.1
TRX000554,2025-02-02,CLI01030,Vestido Casual,Moda,2062.41,3,Nao Informado,Cancelado,Manaus,AM,Brasil,6187.23
TRX000229,2025-09-26,CLI01056,Biografia,Livros,2876.25,3,Cartao De Debito,Concluido,Brasília,DF,Brasil,8628.75
TRX004289,2025-03-16,CLI00517,Quadrinho Clássico,Livros,1011.39,4,Cartao De Credito,Cancelado,Recife,PE,Brasil,4045.56
TRX003947,2025-12-20,CLI01138,Fone Bluetooth,Eletrônicos,2187.9,3,Boleto,Concluido,Curitiba,PR,Brasil,6563.7
TRX002478,2025-01-22,CLI00784,Tênis Esportivo,Moda,640.76,5,Cartao De Credito,Concluido,Belo Horizonte,MG,Brasil,3203.8
TRX003932,2025-02-12,CLI00678,Calça Jeans,Moda,500.79,5,Pix,Em Processamento,Salvador,BA,Brasil,2503.95
TRX002432,2025-03-10,CLI00953,Quadrinho Clássico,Livros,416.71,5,Cartao De Debito,Concluido,Recife,PE,Brasil,2083.55
TRX002330,2025-09-27,CLI01058,Liquidificador,Casa,1583.86,1,Pix,Concluido,Porto Alegre,RS,Brasil,1583.86
TRX000806,2025-05-21,CLI00584,Bicicleta Aro 29,Esporte,3185.47,4,Cartao De Credito,Cancelado,Manaus,AM,Brasil,12741.88
TRX005446,2025-06-23,CLI01072,Livro Técnico Python,Livros,3233.39,5,Pix,Concluido,Rio De Janeiro,RJ,Brasil,16166.95
TRX005890,2025-09-08,CLI00679,Quadrinho Clássico,Livros,1041.16,5,Pix,Devolvido,Belo Horizonte,MG,Brasil,5205.8
TRX003809,2025-11-16,CLI00098,Caixa de Som,Eletrônicos,2380.84,4,Pix,Concluido,Brasília,DF,Brasil,9523.36
TRX003488,2025-05-19,CLI00961,Bola de Futebol,Esporte,418.7,5,Cartao De Credito,Cancelado,Curitiba,PR,Brasil,2093.5
TRX000038,2025-11-07,CLI00235,Caixa de Som,Eletrônicos,454.88,2,Cartao De Debito,Concluido,Belo Horizonte,MG,Brasil,909.76
TRX001515,2025-07-27,CLI00652,Kit Cama,Casa,2492.21,1,Cartao De Credito,Em Processamento,Porto Alegre,RS,Brasil,2492.21
TRX002405,2025-11-06,CLI00915,Bola de Futebol,Esporte,3122.36,2,Boleto,Devolvido,Brasília,DF,Brasil,6244.72
TRX003382,2025-03-27,CLI00851,Camiseta Básica,Moda,2726.84,1,Pix,Concluido,Curitiba,PR,Brasil,2726.84
TRX002550,2025-01-02,CLI00295,Biografia,Livros,1518.89,4,Pix,Em Processamento,Curitiba,PR,Brasil,6075.56
TRX003253,2025-04-21,CLI00074,Kit Cama,Casa,556.53,5,Cartao De Credito,Em Processamento,São Paulo,SP,Brasil,2782.65
TRX003168,2025-11-21,CLI00516,Quadrinho Clássico,Livros,1598.15,2,Cartao De Credito,Concluido,Recife,PE,Brasil,3196.3
TRX003561,2025-01-06,CLI00900,Tapete de Yoga,Esporte,1777.5,5,Boleto,Concluido,Rio De Janeiro,RJ,Brasil,8887.5
TRX003064,2025-01-30,CLI00307,Corda de Pular,Esporte,79.65,2,Cartao De Debito,Cancelado,Salvador,BA,Brasil,159.3
TRX000880,2025-07-26,CLI00061,Calça Jeans,Moda,2927.55,2,Cartao De Credito,Em Processamento,Manaus,AM,Brasil,5855.1
TRX003898,2025-03-09,CLI00249,Bola de Futebol,Esporte,2220.59,5,Pix,Cancelado,Manaus,AM,Brasil,11102.95
TRX005968,2025-05-20,CLI00417,Fone Bluetooth,Eletrônicos,1747.03,2,Cartao De Debito,Concluido,Curitiba,PR,Brasil,3494.06
TRX000157,2025-01-17,CLI00096,Notebook Prime,Eletrônicos,1672.12,5,Pix,Concluido,Curitiba,PR,Brasil,8360.6
TRX005357,2025-06-28,CLI00596,Quadrinho Clássico,Livros,834.12,4,Pix,Concluido,Manaus,AM,Brasil,3336.48
TRX000411,2025-03-11,CLI00112,Livro Técnico Python,Livros,2054.05,4,Boleto,Cancelado,Rio De Janeiro,RJ,Brasil,8216.2
TRX003210,2025-11-11,CLI01050,Luminária LED,Casa,3435.19,3,Boleto,Cancelado,São Paulo,SP,Brasil,10305.57
TRX004978,2025-11-03,CLI00465,Tênis Esportivo,Moda,1784.49,1,Pix,Devolvido,Manaus,AM,Brasil,1784.49
TRX005235,2025-06-05,CLI00235,Romance Best-Seller,Livros,16.71,4,Cartao De Debito,Em Processamento,Rio De Janeiro,RJ,Brasil,66.84
TRX001739,2025-01-30,CLI00079,Aspirador de Pó,Casa,1864.12,5,Cartao De Credito,Em Processamento,Brasília,DF,Brasil,9320.6
TRX002136,2025-08-15,CLI00022,Smartphone X10,Eletrônicos,131.35,1,Pix,Em Processamento,Manaus,AM,Brasil,131.35
TRX002612,2025-08-21,CLI00068,Liquidificador,Casa,2876.85,5,Cartao De Credito,Em Processamento,Fortaleza,CE,Brasil,14384.25
TRX004909,2025-04-26,CLI00536,Romance Best-Seller,Livros,65.62,4,Pix,Concluido,Curitiba,PR,Brasil,262.48
TRX004083,2025-04-17,CLI00697,Bicicleta Aro 29,Esporte,1244.16,4,Cartao De Credito,Cancelado,Brasília,DF,Brasil,4976.64
TRX002919,2025-08-29,CLI00624,Caixa de Som,Eletrônicos,206.05,5,Cartao De Debito,Em Processamento,Rio De Janeiro,RJ,Brasil,1030.25
TRX002009,2025-10-10,CLI00644,Livro Infantil,Livros,1283.1,4,Cartao De Debito,Concluido,Manaus,AM,Brasil,5132.4
TRX002665,2025-04-13,CLI01037,Caixa de Som,Eletrônicos,2352.03,4,Pix,Concluido,Brasília,DF,Brasil,9408.12
TRX005778,2025-07-15,CLI00261,Romance Best-Seller,Livros,2073.69,3,Cartao De Credito,Concluido,Belo Horizonte,MG,Brasil,6221.07
TRX003521,2025-04-14,CLI00273,Aspirador de Pó,Casa,2868.65,4,Cartao De Credito,Cancelado,Belo Horizonte,MG,Brasil,11474.6
TRX004933,2025-05-15,CLI00086,Fone Bluetooth,Eletrônicos,703.75,1,Pix,Concluido,Manaus,AM,Brasil,703.75
TRX000085,2025-01-22,CLI01025,Calça Jeans,Moda,2467.29,5,Pix,Cancelado,Recife,PE,Brasil,12336.45
TRX000711,2025-12-25,CLI00300,Luminária LED,Casa,444.34,5,Cartao De Debito,Cancelado,Fortaleza,CE,Brasil,2221.7
TRX000927,2025-07-09,CLI00266,Liquidificador,Casa,2146.52,4,Pix,Em Processamento,Manaus,AM,Brasil,8586.08
TRX002599,2025-11-04,CLI00907,Fone Bluetooth,Eletrônicos,599.87,1,Pix,Cancelado,Brasília,DF,Brasil,599.87
TRX004697,2025-03-12,CLI00994,Quadrinho Clássico,Livros,459.36,2,Cartao De Credito,Em Processamento,Porto Alegre,RS,Brasil,918.72
TRX002878,2025-03-14,CLI00415,Luminária LED,Casa,2220.99,3,Boleto,Cancelado,Recife,PE,Brasil,6662.97
TRX000255,2025-06-19,CLI00935,Tapete de Yoga,Esporte,1974.73,5,Cartao De Credito,Cancelado,Porto Alegre,RS,Brasil,9873.65
TRX002299,2025-06-02,CLI00893,Caixa de Som,Eletrônicos,2460.92,3,Boleto,Em Processamento,Brasília,DF,Brasil,7382.76
TRX000352,2025-10-03,CLI00079,Tapete de Yoga,Esporte,1845.43,5,Cartao De Credito,Em Processamento,Manaus,AM,Brasil,9227.15
TRX002672,2025-09-06,CLI01108,Tapete de Yoga,Esporte,104.88,1,Boleto,Em Processamento,Brasília,DF,Brasil,104.88
TRX002087,2025-03-12,CLI00825,Smartphone X10,Eletrônicos,2132.26,5,Pix,Concluido,Salvador,BA,Brasil,10661.3
TRX001407,2025-08-03,CLI00095,Quadrinho Clássico,Livros,1102.52,3,Cartao De Credito,Concluido,Curitiba,PR,Brasil,3307.56
TRX001882,2025-01-30,CLI00996,Romance Best-Seller,Livros,298.84,4,Pix,Em Processamento,Fortaleza,CE,Brasil,1195.36
TRX000539,2025-07-14,CLI00402,Aspirador de Pó,Casa,872.19,5,Cartao De Credito,Concluido,Salvador,BA,Brasil,4360.95
TRX004757,2025-08-26,CLI01019,Halteres 5kg,Esporte,287.89,3,Pix,Devolvido,Salvador,BA,Brasil,863.67
TRX000264,2025-08-15,CLI00641,"Smart TV 50""",Eletrônicos,3349.11,4,Cartao De Debito,Cancelado,Recife,PE,Brasil,13396.44
TRX001352,2025-02-02,CLI00974,Bicicleta Aro 29,Esporte,1687.52,2,Boleto,Cancelado,Salvador,BA,Brasil,3375.04
TRX005600,2025-05-28,CLI00315,Camiseta Básica,Moda,1945.94,3,Nao Informado,Em Processamento,Manaus,AM,Brasil,5837.82
TRX003287,2025-10-16,CLI00086,Jaqueta Corta-Vento,Moda,1278.49,1,Cartao De Credito,Cancelado,Recife,PE,Brasil,1278.49
