ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Localidade_Venda,Metodo_Pagamento,Status_Pedido
TRX005447,23/11/2025,CLI00305,Halteres 5kg,Esporte,"R$ 2.941,81",1.0,PORTO ALEGRE - RS,Cartao de Debito,Cancelado
TRX000812,24/07/2025,CLI00828,Tapete de Yoga,ESPORTE,799.47,4.0,Brasília/DF/Brasil,pix,Em Processamento
TRX005165,2025-06-13,CLI00542,Biografia,Livros,978.08,4.0,MANAUS - AM,Boleto,Concluido
TRX004763,10-01-2025,CLI00310,Romance Best-Seller,Livros,883.50,1.0,Recife/PE/Brasil,Boleto,Concluido
TRX005340,2025-08-07,CLI00521,Biografia,Livros,3245.77,1.0,Recife/PE/Brasil,Cartao de Credito,Concluido
TRX001731,2025-12-17,CLI00133,Bicicleta Aro 29,Esporte,1211.81,2.0,Porto Alegre/RS/Brasil,PIX,Devolvido
TRX001700,01-20-2025,CLI00686,Livro Técnico Python,Livros,"R$ 2.671,49",1.0,Recife/PE/Brasil,Cartao de Credito,Em Processamento
TRX001358,08-14-2025,CLI00259,Quadrinho Clássico,Livros,2643.50,3.0,MANAUS - AM,Boleto,Devolvido
TRX003681,03-23-2025,CLI00544,Tênis Esportivo,MODA,"R$ 3.381,41",2.0,PORTO ALEGRE - RS,Cartao de Debito,Devolvido
TRX000320,08/05/2025,CLI00394,Kit Cama,Casa,1653.46,5.0,RIO DE JANEIRO - RJ,pix,Concluido
TRX004016,2025-11-15,CLI00117,Kit Cama,Casa,"R$ 1.651,61",5.0,RIO DE JANEIRO - RJ,pix,Devolvido
TRX003353,2025-11-26,CLI00715,Notebook Prime,Eletrônicos,2630.15,4.0,Recife/PE/Brasil,Boleto,Em Processamento
TRX004619,2025-12-13,CLI00811,Jaqueta Corta-Vento,Moda,826.50,3.0,São Paulo/SP/Brasil,pix,concluido
TRX001109,31/10/2025,CLI00702,Notebook Prime,Eletrônicos,"R$ 628,04",5.0,Porto Alegre/RS/Brasil,cartao de credito,Devolvido
TRX004629,2025-04-13,CLI00477,Livro Infantil,Livros,"R$ 2.963,97",1.0,Salvador/BA/Brasil,PIX,Devolvido
TRX002945,03-15-2025,CLI00032,Tapete de Yoga,Esporte,"R$ 1.647,75",3.0,BELO HORIZONTE - MG,cartao de credito,Concluido
TRX001303,31/07/2025,CLI00335,Bicicleta Aro 29,Esporte,2516.18,4.0,RIO DE JANEIRO - RJ,Cartao de Credito,Concluido
TRX002032,02/03/2025,CLI01140,Smartphone X10,ELETRÔNICOS,313.32,5.0,Manaus/AM/Brasil,Boleto,Em Processamento
TRX001427,22/03/2025,CLI00020,Aspirador de Pó,Casa,30.38,1.0,RECIFE - PE,Cartao de Debito,Concluido
TRX000297,02-16-2025,CLI00810,Camiseta Básica,Moda,1245.65,4.0,PORTO ALEGRE - RS,Cartao de Credito,Devolvido
TRX002648,21/11/2025,CLI01089,Biografia,Livros,"R$ 754,33",5.0,Rio de Janeiro/RJ/Brasil,pix,concluido
TRX001663,01/01/2025,,Romance Best-Seller,Livros,"R$ 1.248,33",3.0,BRASÍLIA - DF,Boleto,concluido
TRX002751,08/01/2025,CLI00433,"Smart TV 50""",Eletrônicos,"R$ 1.707,47",2.0,São Paulo/SP/Brasil,Boleto,concluido
TRX004360,12-10-2025,CLI00129,Jogo de Panelas,Casa,"R$ 2.570,26",3.0,Recife/PE/Brasil,Boleto,Em Processamento
TRX002346,19/07/2025,CLI00970,Liquidificador,Casa,"R$ 645,21",3.0,BELO HORIZONTE - MG,PIX,Cancelado
TRX001187,2025-11-22,CLI00791,Quadrinho Clássico,Livros,"R$ 1.219,83",4.0,Curitiba/PR/Brasil,pix,Devolvido
TRX004695,2025-06-07,CLI00718,Corda de Pular,Esporte,512.07,5.0,RECIFE - PE,Cartao de Credito,Devolvido
TRX001216,2025-12-15,CLI00279,Aspirador de Pó,CASA,2875.54,1.0,Fortaleza/CE/Brasil,Cartao de Credito,Concluido
TRX001394,2025-03-17,CLI00020,Quadrinho Clássico,Livros,"R$ 668,41",4.0,Porto Alegre/RS/Brasil,cartao de credito,concluido
TRX001513,13/02/2025,CLI00070,Livro Técnico Python,Livros,"R$ 3.225,44",5.0,Manaus/AM/Brasil,pix,Concluido
TRX004344,04-06-2025,CLI00264,Notebook Prime,Eletrônicos,1713.61,3.0,São Paulo/SP/Brasil,Boleto,Devolvido
TRX003619,18/05/2025,CLI00680,Livro Técnico Python,Livros,"R$ 1.428,11",3.0,Recife/PE/Brasil,Boleto,concluido
TRX001962,18/08/2025,CLI00191,Smartphone X10,Eletrônicos,"R$ 97,34",5.0,Porto Alegre/RS/Brasil,PIX,Devolvido
TRX000234,05-14-2025,CLI00222,Tapete de Yoga,Esporte,1055.19,3.0,Manaus/AM/Brasil,PIX,Cancelado
TRX003804,13/08/2025,CLI00139,Camiseta Básica,Moda,787.30,3.0,Rio de Janeiro/RJ/Brasil,cartao de credito,Em Processamento
TRX003816,13/11/2025,CLI00143,Fone Bluetooth,Eletrônicos,177.29,2.0,CURITIBA - PR,Cartao de Debito,Em Processamento
TRX004055,20/10/2025,CLI00057,Camiseta Básica,Moda,3024.79,4.0,Brasília/DF/Brasil,Cartao de Credito,Cancelado
TRX005154,13/03/2025,CLI00261,Caixa de Som,Eletrônicos,"R$ 1.224,89",1.0,Recife/PE/Brasil,Cartao de Credito,Devolvido
TRX000347,12-28-2025,CLI00284,Kit Cama,Casa,735.55,2.0,Brasília/DF/Brasil,cartao de credito,concluido
TRX002064,2025-10-03,CLI00939,Tapete de Yoga,Esporte,2788.24,5.0,Curitiba/PR/Brasil,Cartao de Credito,Cancelado
TRX002035,05-28-2025,CLI00742,"Smart TV 50""",Eletrônicos,1744.82,1.0,São Paulo/SP/Brasil,PIX,concluido
TRX002928,2025-10-28,CLI00454,Fone Bluetooth,Eletrônicos,"R$ 365,22",3.0,RIO DE JANEIRO - RJ,pix,Cancelado
TRX000577,2025-09-09,CLI00430,Caixa de Som,ELETRÔNICOS,952.54,2.0,SALVADOR - BA,,Em Processamento
TRX001057,10/06/2025,CLI00157,Corda de Pular,Esporte,1834.94,4.0,Porto Alegre/RS/Brasil,PIX,Em Processamento
TRX003541,06/04/2025,CLI00236,Tênis Esportivo,Moda,497.17,4.0,Rio de Janeiro/RJ/Brasil,,Em Processamento
TRX003405,2025-08-23,CLI01187,Camiseta Básica,Moda,1199.18,1.0,Salvador/BA/Brasil,pix,Devolvido
TRX001635,2025-02-10,CLI00604,Biografia,Livros,1725.65,3.0,Brasília/DF/Brasil,Cartao de Credito,Devolvido
TRX001923,2025-07-11,CLI00367,Notebook Prime,Eletrônicos,1096.14,4.0,Curitiba/PR/Brasil,PIX,Concluido
TRX000545,02/04/2025,CLI00924,"Smart TV 50""",Eletrônicos,1187.26,5.0,Brasília/DF/Brasil,pix,Cancelado
TRX001826,11-20-2025,CLI00092,Bola de Futebol,Esporte,1181.35,3.0,Rio de Janeiro/RJ/Brasil,Cartao de Debito,Concluido
TRX003019,07-24-2025,CLI00271,Jogo de Panelas,Casa,3049.34,5.0,MANAUS - AM,Cartao de Debito,Cancelado
TRX005714,2025-02-15,CLI00229,Jogo de Panelas,CASA,"R$ 3.065,10",1.0,BELO HORIZONTE - MG,pix,Em Processamento
TRX003760,02/11/2025,CLI01130,Liquidificador,Casa,"R$ 366,38",2.0,CURITIBA - PR,PIX,Devolvido
TRX000707,08-25-2025,CLI01159,Bola de Futebol,Esporte,"R$ 1.908,29",5.0,Belo Horizonte/MG/Brasil,pix,Concluido
TRX003938,2025-10-07,CLI00134,Livro Infantil,Livros,2085.27,4.0,Belo Horizonte/MG/Brasil,Cartao de Debito,Devolvido
TRX005895,06-18-2025,CLI00639,Fone Bluetooth,Eletrônicos,"R$ 3.244,45",5.0,Porto Alegre/RS/Brasil,Cartao de Debito,Cancelado
TRX004378,06-29-2025,CLI00211,Livro Infantil,Livros,1614.38,2.0,Porto Alegre/RS/Brasil,Cartao de Debito,Concluido
TRX005981,02-24-2025,CLI01111,Livro Técnico Python,Livros,587.81,4.0,São Paulo/SP/Brasil,PIX,Devolvido
TRX004881,01-08-2025,CLI00527,Vestido Casual,Moda,"R$ 2.355,88",2.0,Brasília/DF/Brasil,Cartao de Debito,concluido
TRX004103,12-25-2025,CLI01154,Kit Cama,Casa,886.32,5.0,São Paulo/SP/Brasil,Boleto,Cancelado
TRX001075,03-01-2025,CLI00810,Jogo de Panelas,Casa,1730.93,2.0,Salvador/BA/Brasil,Cartao de Debito,Concluido
TRX004084,22/05/2025,CLI00837,Notebook Prime,Eletrônicos,"R$ 256,09",2.0,CURITIBA - PR,PIX,Concluido
TRX003406,31/03/2025,CLI00116,Jaqueta Corta-Vento,Moda,307.13,5.0,Brasília/DF/Brasil,PIX,Em Processamento
TRX001346,22/03/2025,CLI00968,Calça Jeans,Moda,3253.60,1.0,Rio de Janeiro/RJ/Brasil,cartao de credito,Devolvido
TRX001420,2025-02-09,CLI00956,Bola de Futebol,Esporte,"R$ 2.273,33",5.0,Rio de Janeiro/RJ/Brasil,PIX,Cancelado
TRX004590,2025-08-18,CLI00582,Tapete de Yoga,Esporte,"R$ 611,30",4.0,Recife/PE/Brasil,PIX,Cancelado
TRX001621,19/02/2025,CLI00485,Jaqueta Corta-Vento,Moda,2071.98,4.0,MANAUS - AM,Boleto,Devolvido
TRX002487,10-14-2025,CLI00229,Tapete de Yoga,Esporte,1625.41,4.0,Curitiba/PR/Brasil,Boleto,Devolvido
TRX002917,06-20-2025,CLI00419,Romance Best-Seller,Livros,"R$ 2.609,76",5.0,Porto Alegre/RS/Brasil,pix,Cancelado
TRX003319,28/07/2025,CLI00603,Fone Bluetooth,Eletrônicos,"R$ 2.370,54",1.0,Belo Horizonte/MG/Brasil,cartao de credito,Em Processamento
TRX002458,2025-09-15,CLI01143,Calça Jeans,Moda,3353.14,3.0,SÃO PAULO - SP,cartao de credito,Cancelado
TRX002903,04-21-2025,CLI00509,Vestido Casual,Moda,"R$ 3.439,61",3.0,Brasília/DF/Brasil,pix,Cancelado
TRX001040,11/10/2025,CLI01018,Tapete de Yoga,Esporte,"R$ 3.227,57",,Manaus/AM/Brasil,Cartao de Credito,concluido
TRX004516,2025-03-10,CLI00263,Bicicleta Aro 29,Esporte,"R$ 2.189,22",2.0,Brasília/DF/Brasil,cartao de credito,Concluido
TRX002523,12/09/2025,CLI00528,Livro Técnico Python,Livros,3284.57,5.0,Brasília/DF/Brasil,Cartao de Debito,Devolvido
TRX001500,2025-10-27,CLI00293,Notebook Prime,Eletrônicos,"R$ 2.839,61",3.0,São Paulo/SP/Brasil,PIX,concluido
TRX000743,03-06-2025,CLI00742,Jogo de Panelas,Casa,1777.17,5.0,SALVADOR - BA,pix,Devolvido
TRX005742,23/12/2025,CLI01197,Caixa de Som,Eletrônicos,3411.51,1.0,Rio de Janeiro/RJ/Brasil,PIX,Devolvido
TRX005829,09-07-2025,CLI00696,Halteres 5kg,Esporte,3117.44,3.0,São Paulo/SP/Brasil,PIX,Devolvido
TRX005420,2025-04-03,CLI00511,Biografia,Livros,500.71,3.0,Recife/PE/Brasil,Cartao de Credito,Cancelado
TRX005639,11/05/2025,CLI00166,Vestido Casual,Moda,783.90,2.0,CURITIBA - PR,Boleto,Em Processamento
TRX004653,2025-09-24,CLI00480,Tapete de Yoga,Esporte,3080.74,4.0,Recife/PE/Brasil,pix,Devolvido
TRX002481,25/06/2025,CLI00847,Caixa de Som,Eletrônicos,"R$ 1.707,05",4.0,Curitiba/PR/Brasil,pix,Cancelado
TRX001865,2025-08-01,CLI00799,Kit Cama,Casa,2850.95,5.0,Salvador/BA/Brasil,PIX,Devolvido
TRX003429,17/08/2025,CLI00940,Jogo de Panelas,Casa,"R$ 1.299,73",4.0,São Paulo/SP/Brasil,Cartao de Debito,concluido
TRX002654,2025-08-11,CLI00538,Notebook Prime,Eletrônicos,"R$ 1.880,24",5.0,RIO DE JANEIRO - RJ,Boleto,Cancelado
TRX001145,13/02/2025,CLI01142,Fone Bluetooth,Eletrônicos,1685.40,2.0,Manaus/AM/Brasil,Boleto,Em Processamento
TRX003526,07-20-2025,,Corda de Pular,Esporte,3424.09,5.0,Brasília/DF/Brasil,pix,Devolvido
TRX000081,2025-04-03,CLI00548,Tapete de Yoga,Esporte,3252.86,5.0,São Paulo/SP/Brasil,PIX,concluido
TRX004884,2025-01-01,CLI00021,Tapete de Yoga,Esporte,676.10,1.0,Fortaleza/CE/Brasil,Boleto,concluido
TRX004819,22/04/2025,CLI00225,Quadrinho Clássico,Livros,"R$ 2.825,25",5.0,São Paulo/SP/Brasil,Cartao de Debito,Concluido
TRX005577,22/02/2025,CLI00383,Notebook Prime,Eletrônicos,"R$ 445,13",1.0,Recife/PE/Brasil,cartao de credito,Cancelado
TRX001787,29/10/2025,CLI00938,"Smart TV 50""",Eletrônicos,171.13,3.0,Recife/PE/Brasil,,Em Processamento
TRX005097,10-08-2025,CLI00464,"Smart TV 50""",ELETRÔNICOS,2110.04,3.0,RECIFE - PE,Cartao de Debito,concluido
TRX000961,26/10/2025,CLI00362,Tênis Esportivo,Moda,34.84,2.0,Fortaleza/CE/Brasil,cartao de credito,Concluido
TRX002756,01-05-2025,CLI00758,Jogo de Panelas,Casa,"R$ 3.408,50",1.0,Salvador/BA/Brasil,pix,Em Processamento
TRX005520,2025-06-19,CLI00937,Romance Best-Seller,Livros,2626.50,2.0,Belo Horizonte/MG/Brasil,Boleto,concluido
TRX000080,2025-10-21,CLI00988,Jogo de Panelas,Casa,756.39,5.0,Manaus/AM/Brasil,Boleto,Devolvido
TRX001567,08-10-2025,CLI00570,Tapete de Yoga,ESPORTE,120.93,2.0,Brasília/DF/Brasil,Cartao de Debito,Devolvido
TRX001570,2025-01-23,,Tapete de Yoga,Esporte,"R$ 2.307,65",2.0,São Paulo/SP/Brasil,PIX,Devolvido
TRX002167,27/04/2025,CLI00116,Livro Técnico Python,Livros,"R$ 3.345,93",3.0,Rio de Janeiro/RJ/Brasil,Cartao de Debito,Concluido
TRX000713,23/03/2025,CLI00727,Bola de Futebol,Esporte,1564.01,5.0,SÃO PAULO - SP,Cartao de Debito,concluido
TRX001085,07-28-2025,CLI01150,Bola de Futebol,Esporte,"R$ 497,75",5.0,Curitiba/PR/Brasil,PIX,Devolvido
TRX001331,06-07-2025,CLI00350,Biografia,Livros,1875.53,4.0,Salvador/BA/Brasil,Cartao de Credito,concluido
TRX000024,2025-08-29,CLI00509,Notebook Prime,Eletrônicos,2810.79,4.0,SALVADOR - BA,Cartao de Credito,Cancelado
TRX003408,30/10/2025,CLI00211,Bola de Futebol,Esporte,1692.72,4.0,BELO HORIZONTE - MG,pix,Cancelado
TRX003780,2025-11-23,CLI00168,Bicicleta Aro 29,Esporte,1603.09,3.0,Porto Alegre/RS/Brasil,Cartao de Debito,Devolvido
TRX004373,11/06/2025,CLI00958,Camiseta Básica,Moda,504.55,3.0,BRASÍLIA - DF,Cartao de Credito,Cancelado
TRX004127,2025-11-08,CLI00427,Kit Cama,Casa,"R$ 795,61",4.0,Salvador/BA/Brasil,cartao de credito,Concluido
TRX005473,17/12/2025,CLI00262,Liquidificador,Casa,1730.28,3.0,São Paulo/SP/Brasil,cartao de credito,concluido
TRX004162,25/12/2025,,Vestido Casual,Moda,"R$ 590,31",3.0,Recife/PE/Brasil,pix,Devolvido
TRX004991,08-15-2025,CLI00862,Romance Best-Seller,Livros,"R$ 2.007,57",2.0,Manaus/AM/Brasil,pix,Em Processamento
TRX001262,11-30-2025,CLI00361,Calça Jeans,Moda,"R$ 2.590,85",3.0,Salvador/BA/Brasil,pix,concluido
TRX005390,28/03/2025,CLI00390,Livro Técnico Python,Livros,127.61,5.0,CURITIBA - PR,PIX,Concluido
TRX001439,12/02/2025,CLI01075,Jaqueta Corta-Vento,Moda,2761.90,3.0,São Paulo/SP/Brasil,cartao de credito,Cancelado
TRX001770,24/02/2025,CLI00447,Notebook Prime,Eletrônicos,"R$ 3.497,18",3.0,Fortaleza/CE/Brasil,PIX,Devolvido
TRX005004,2025-05-01,CLI01070,Vestido Casual,Moda,1554.75,1.0,Fortaleza/CE/Brasil,Cartao de Debito,Cancelado
TRX004105,2025-04-05,CLI00554,Biografia,Livros,"R$ 2.518,02",5.0,BELO HORIZONTE - MG,Cartao de Debito,concluido
TRX000554,02/02/2025,CLI01030,Vestido Casual,Moda,"R$ 2.062,41",3.0,MANAUS - AM,,Cancelado
TRX000229,09-26-2025,CLI01056,Biografia,LIVROS,"R$ 2.876,25",3.0,BRASÍLIA - DF,Cartao de Debito,concluido
TRX004289,03-16-2025,CLI00517,Quadrinho Clássico,Livros,"R$ 1.011,39",4.0,Recife/PE/Brasil,cartao de credito,Cancelado
TRX003947,20/12/2025,CLI01138,Fone Bluetooth,Eletrônicos,"R$ 2.187,90",3.0,Curitiba/PR/Brasil,Boleto,concluido
TRX002478,22/01/2025,CLI00784,Tênis Esportivo,Moda,640.76,5.0,Belo Horizonte/MG/Brasil,cartao de credito,Concluido
TRX003932,02-12-2025,CLI00678,Calça Jeans,Moda,500.79,5.0,Salvador/BA/Brasil,pix,Em Processamento
TRX002432,10/03/2025,CLI00953,Quadrinho Clássico,Livros,416.71,5.0,Recife/PE/Brasil,Cartao de Debito,Concluido
TRX002330,09-27-2025,CLI01058,Liquidificador,Casa,1583.86,1.0,Porto Alegre/RS/Brasil,pix,concluido
TRX000806,21/05/2025,CLI00584,Bicicleta Aro 29,Esporte,3185.47,4.0,Manaus/AM/Brasil,Cartao de Credito,Cancelado
TRX005446,23/06/2025,CLI01072,Livro Técnico Python,Livros,3233.39,5.0,RIO DE JANEIRO - RJ,pix,concluido
TRX005890,08/09/2025,CLI00679,Quadrinho Clássico,Livros,1041.16,5.0,Belo Horizonte/MG/Brasil,PIX,Devolvido
TRX003809,2025-11-16,CLI00098,Caixa de Som,Eletrônicos,2380.84,4.0,Brasília/DF/Brasil,PIX,concluido
TRX003488,2025-05-19,CLI00961,Bola de Futebol,Esporte,418.70,5.0,Curitiba/PR/Brasil,Cartao de Credito,Cancelado
TRX000038,11-07-2025,CLI00235,Caixa de Som,Eletrônicos,454.88,2.0,Belo Horizonte/MG/Brasil,Cartao de Debito,concluido
TRX001515,2025-07-27,CLI00652,Kit Cama,CASA,2492.21,1.0,Porto Alegre/RS/Brasil,cartao de credito,Em Processamento
TRX002405,2025-11-06,CLI00915,Bola de Futebol,Esporte,3122.36,2.0,BRASÍLIA - DF,Boleto,Devolvido
TRX003382,2025-03-27,CLI00851,Camiseta Básica,Moda,2726.84,1.0,Curitiba/PR/Brasil,pix,Concluido
TRX002550,01-02-2025,CLI00295,Biografia,Livros,1518.89,4.0,CURITIBA - PR,PIX,Em Processamento
TRX003253,21/04/2025,CLI00074,Kit Cama,Casa,556.53,5.0,São Paulo/SP/Brasil,Cartao de Credito,Em Processamento
TRX003168,11-21-2025,CLI00516,Quadrinho Clássico,Livros,1598.15,2.0,Recife/PE/Brasil,Cartao de Credito,concluido
TRX003561,2025-01-06,CLI00900,Tapete de Yoga,Esporte,"R$ 1.777,50",5.0,RIO DE JANEIRO - RJ,Boleto,concluido
TRX003064,01-30-2025,CLI00307,Corda de Pular,Esporte,79.65,2.0,Salvador/BA/Brasil,Cartao de Debito,Cancelado
TRX000880,07-26-2025,CLI00061,Calça Jeans,Moda,2927.55,2.0,MANAUS - AM,Cartao de Credito,Em Processamento
TRX003898,2025-03-09,CLI00249,Bola de Futebol,Esporte,"R$ 2.220,59",5.0,MANAUS - AM,PIX,Cancelado
TRX005968,05-20-2025,CLI00417,Fone Bluetooth,Eletrônicos,"R$ 1.747,03",2.0,Curitiba/PR/Brasil,Cartao de Debito,Concluido
TRX000157,2025-01-17,CLI00096,Notebook Prime,Eletrônicos,"R$ 1.672,12",5.0,Curitiba/PR/Brasil,PIX,concluido
TRX005357,2025-06-28,CLI00596,Quadrinho Clássico,Livros,834.12,4.0,Manaus/AM/Brasil,pix,Concluido
TRX000411,11/03/2025,CLI00112,Livro Técnico Python,Livros,2054.05,4.0,Rio de Janeiro/RJ/Brasil,Boleto,Cancelado
TRX003210,11/11/2025,CLI01050,Luminária LED,CASA,3435.19,3.0,SÃO PAULO - SP,Boleto,Cancelado
TRX004978,11-03-2025,CLI00465,Tênis Esportivo,Moda,1784.49,1.0,Manaus/AM/Brasil,pix,Devolvido
TRX005235,06-05-2025,CLI00235,Romance Best-Seller,Livros,16.71,4.0,RIO DE JANEIRO - RJ,Cartao de Debito,Em Processamento
TRX001739,2025-01-30,CLI00079,Aspirador de Pó,Casa,1864.12,5.0,Brasília/DF/Brasil,Cartao de Credito,Em Processamento
TRX002136,2025-08-15,CLI00022,Smartphone X10,Eletrônicos,131.35,1.0,Manaus/AM/Brasil,pix,Em Processamento
TRX002612,21/08/2025,CLI00068,Liquidificador,CASA,2876.85,5.0,FORTALEZA - CE,cartao de credito,Em Processamento
TRX004909,2025-04-26,CLI00536,Romance Best-Seller,Livros,"R$ 65,62",4.0,Curitiba/PR/Brasil,PIX,concluido
TRX004083,17/04/2025,CLI00697,Bicicleta Aro 29,Esporte,1244.16,4.0,BRASÍLIA - DF,cartao de credito,Cancelado
TRX002919,08-29-2025,CLI00624,Caixa de Som,Eletrônicos,"R$ 206,05",5.0,Rio de Janeiro/RJ/Brasil,Cartao de Debito,Em Processamento
TRX002009,2025-10-10,CLI00644,Livro Infantil,Livros,1283.10,4.0,Manaus/AM/Brasil,Cartao de Debito,concluido
TRX002665,04-13-2025,CLI01037,Caixa de Som,Eletrônicos,"R$ 2.352,03",4.0,Brasília/DF/Brasil,pix,concluido
TRX005778,07-15-2025,CLI00261,Romance Best-Seller,LIVROS,2073.69,3.0,Belo Horizonte/MG/Brasil,Cartao de Credito,Concluido
TRX003521,14/04/2025,CLI00273,Aspirador de Pó,Casa,2868.65,4.0,BELO HORIZONTE - MG,cartao de credito,Cancelado
TRX004933,15/05/2025,CLI00086,Fone Bluetooth,Eletrônicos,"R$ 703,75",1.0,Manaus/AM/Brasil,PIX,concluido
TRX000085,22/01/2025,CLI01025,Calça Jeans,MODA,2467.29,5.0,Recife/PE/Brasil,PIX,Cancelado
TRX000711,12-25-2025,CLI00300,Luminária LED,Casa,444.34,5.0,FORTALEZA - CE,Cartao de Debito,Cancelado
TRX000927,07-09-2025,CLI00266,Liquidificador,Casa,"R$ 2.146,52",4.0,Manaus/AM/Brasil,PIX,Em Processamento
TRX002599,11-04-2025,CLI00907,Fone Bluetooth,Eletrônicos,599.87,1.0,Brasília/DF/Brasil,PIX,Cancelado
TRX004697,2025-03-12,CLI00994,Quadrinho Clássico,Livros,"R$ 459,36",2.0,Porto Alegre/RS/Brasil,Cartao de Credito,Em Processamento
TRX002878,14/03/2025,CLI00415,Luminária LED,Casa,2220.99,,Recife/PE/Brasil,Boleto,Cancelado
TRX000255,06-19-2025,CLI00935,Tapete de Yoga,Esporte,1974.73,5.0,Porto Alegre/RS/Brasil,Cartao de Credito,Cancelado
TRX002299,06-02-2025,CLI00893,Caixa de Som,ELETRÔNICOS,2460.92,3.0,Brasília/DF/Brasil,Boleto,Em Processamento
TRX000352,03/10/2025,CLI00079,Tapete de Yoga,Esporte,"R$ 1.845,43",5.0,MANAUS - AM,Cartao de Credito,Em Processamento
TRX002672,09-06-2025,CLI01108,Tapete de Yoga,Esporte,"R$ 104,88",1.0,BRASÍLIA - DF,Boleto,Em Processamento
TRX002087,2025-03-12,CLI00825,Smartphone X10,Eletrônicos,2132.26,5.0,Salvador/BA/Brasil,pix,Concluido
TRX001407,2025-08-03,CLI00095,Quadrinho Clássico,Livros,"R$ 1.102,52",3.0,Curitiba/PR/Brasil,cartao de credito,Concluido
TRX001882,01-30-2025,CLI00996,Romance Best-Seller,Livros,"R$ 298,84",4.0,Fortaleza/CE/Brasil,PIX,Em Processamento
TRX000539,07-14-2025,CLI00402,Aspirador de Pó,Casa,"R$ 872,19",5.0,Salvador/BA/Brasil,Cartao de Credito,concluido
TRX004757,26/08/2025,CLI01019,Halteres 5kg,Esporte,"R$ 287,89",3.0,SALVADOR - BA,pix,Devolvido
TRX000264,2025-08-15,CLI00641,"Smart TV 50""",Eletrônicos,3349.11,4.0,Recife/PE/Brasil,Cartao de Debito,Cancelado
TRX001352,02/02/2025,CLI00974,Bicicleta Aro 29,Esporte,1687.52,2.0,Salvador/BA/Brasil,Boleto,Cancelado
TRX005600,28/05/2025,CLI00315,Camiseta Básica,Moda,1945.94,3.0,Manaus/AM/Brasil,,Em Processamento
TRX003287,2025-10-16,CLI00086,Jaqueta Corta-Vento,Moda,1278.49,1.0,Recife/PE/Brasil,Cartao de Credito,Cancelado
TRX003712,19/05/2025,CLI00489,"Smart TV 50""",Eletrônicos,"R$ 1.222,05",1.0,Manaus/AM/Brasil,Cartao de Credito,Devolvido
TRX004734,06-05-2025,CLI00293,Bola de Futebol,Esporte,1536.10,4.0,Manaus/AM/Brasil,cartao de credito,Em Processamento
